序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,高雄市,左營區,左營,2016/06/30,"氮氧化物 NOx (ppb)",12,13,17,22,20,15,17,20,27,25,17,15,7,6.4,8.6,9.4,10,12,13,27,17,9.9,8.9,7.9
2,高雄市,左營區,左營,2016/06/30,"風向 WIND_DIREC (degrees)",189,165,173,144,37,300,41,47,347,301,280,226,210,199,192,203,202,197,198,261,43,44,45,42
3,高雄市,左營區,左營,2016/06/30,"臭氧 O3 (ppb)",8.4,4.7,1.7,1.3,1,1.9,5.8,12,15,26,40,53,24,20,18,18,18,12,7.1,1,4.2,18,19,20
4,高雄市,左營區,左營,2016/06/30,"細懸浮微粒 PM 2.5  (μg/m 3 )",1,1,3,4,8,8,13,6,10,14,20,16,15,13,14,8,4,4,3,9,7,14,5,4
5,高雄市,左營區,左營,2016/06/30,"非甲烷碳氫化合物 NMHC (ppm)",0.03,0.03,0.04,0.05,0.07,0.16,0.22,0.22,0.19,0.17,0.1,0.12,0.04,0.03,0.04,0.04,0.07,0.08,0.07,0.11,0.11,0.07,0.07,0.05
6,高雄市,左營區,左營,2016/06/30,"一氧化碳 CO (ppm)",0.13,0.1,0.11,0.12,0.13,0.26,0.34,0.39,0.41,0.39,0.28,0.29,0.15,0.12,0.12,0.14,0.16,0.23,0.22,0.27,0.27,0.18,0.17,0.15
7,高雄市,左營區,左營,2016/06/30,"一氧化氮 NO (ppb)",0.9,1,2.8,8.9,7.3,3.1,6.4,7.3,10,7.9,4,2.6,2.2,2.3,3.6,3.9,3.9,4.6,3.9,11,3.2,1.1,0.8,0.9
8,高雄市,左營區,左營,2016/06/30,"二氧化氮 NO2 (ppb)",11,12,14,13,13,11,11,13,17,17,13,12,4.8,4.1,5,5.5,6.3,7.5,9.4,16,14,8.8,8.1,7.1
9,高雄市,左營區,左營,2016/06/30,"相對濕度 RH (percent)",74,76,73,71,72,75,76,73,71,65,64,60,60,63,62,63,63,62,60,64,67,72,74,72
10,高雄市,左營區,左營,2016/06/30,"懸浮微粒 PM 10  (μg/m 3 )",15,20,23,23,23,32,32,33,29,40,46,51,44,36,30,31,33,33,30,36,37,29,21,21
11,高雄市,左營區,左營,2016/06/30,"甲烷 CH4 (ppm)",1.8,1.8,1.7,1.7,1.8,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8
12,高雄市,左營區,左營,2016/06/30,"風速 WIND_SPEED (m/sec)",1.8,3,3,2.4,1.3,0.9,1.6,1.6,1.2,2.1,2.8,4,3.2,4.3,4.5,4.3,3.9,3.4,3.4,2.1,5,3.3,2.9,1.8
13,高雄市,左營區,左營,2016/06/30,"溫度 AMB_TEMP (℃)",,30,30,30,,29,30,30,31,32,32,33,33,33,33,33,33,33,32,32,,30,29,29
14,高雄市,左營區,左營,2016/06/30,"總碳氫化合物 THC (ppm)",1.8,1.8,1.8,1.8,1.9,2,2.1,2.1,2,2,1.9,1.9,1.8,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.8,1.8,1.8
15,高雄市,左營區,左營,2016/06/30,"小時風速值 WS_HR (m/sec)",2.5,2.5,2.5,2.3,0.8,0.3,0.7,1.4,0.9,0.7,2.1,2.4,2.9,3.7,3.8,4.1,3.6,3.7,3.5,1.1,0.9,3.4,3,2.2
16,高雄市,左營區,左營,2016/06/30,"小時風向值 WD_HR (degrees)",172,173,168,169,143,16,14,42,26,4.4,281,216,211,200,201,200,197,195,203,227,10,43,41,43
17,高雄市,左營區,左營,2016/06/30,"二氧化硫 SO2 (ppb)",5.8,7,11,12,11,4.7,4.5,6.1,7.9,9.7,9.6,7.2,3,2.2,2.7,3,3.2,3.4,4.2,10,6.6,2.5,2.3,2.2
18,高雄市,左營區,左營,2016/06/29,"氮氧化物 NOx (ppb)",22,17,16,14,11,11,11,15,15,28,24,19,13,11,9.8,9.7,11,11,11,10,9,7.8,9.1,9.3
19,高雄市,左營區,左營,2016/06/29,"風向 WIND_DIREC (degrees)",188,178,172,159,171,155,169,172,170,180,194,193,196,199,192,191,189,189,199,192,189,206,193,192
20,高雄市,左營區,左營,2016/06/29,"臭氧 O3 (ppb)",1.5,2.8,4.1,5.4,7.8,9,13,15,19,12,13,16,17,17,19,18,17,14,13,13,14,15,14,13
21,高雄市,左營區,左營,2016/06/29,"細懸浮微粒 PM 2.5  (μg/m 3 )",12,2,12,6,16,8,7,1,9,6,12,1,9,12,9,5,1,2,2,8,3,1,4,1
22,高雄市,左營區,左營,2016/06/29,"非甲烷碳氫化合物 NMHC (ppm)",0.35,0.12,0.13,0.17,0.08,0.09,0.08,0.12,0.14,0.13,0.1,0.1,0.07,0.04,0.04,0.04,0.06,0.07,0.07,0.05,0.04,0.04,0.04,0.04
23,高雄市,左營區,左營,2016/06/29,"一氧化碳 CO (ppm)",0.45,0.31,0.47,0.44,0.33,0.28,0.26,0.46,0.35,0.33,0.18,0.17,0.16,0.15,0.14,0.15,0.18,0.24,0.24,0.21,0.17,0.16,0.16,0.13
24,高雄市,左營區,左營,2016/06/29,"一氧化氮 NO (ppb)",5.4,3.1,1.4,1.1,0.8,1.2,2.7,5.6,5.7,14,12,8.7,6,4.9,3.8,4,3.9,3.8,2.4,1.5,1.5,1.1,0.8,0.8
25,高雄市,左營區,左營,2016/06/29,"二氧化氮 NO2 (ppb)",16,13,14,13,10,9.7,8,9.7,9.8,14,12,10,7.4,6.3,6,5.7,6.6,7.3,8.6,8.9,7.5,6.8,8.4,8.5
26,高雄市,左營區,左營,2016/06/29,"相對濕度 RH (percent)",58,63,60,61,61,63,60,56,52,53,55,56,55,58,63,61,65,69,71,73,74,73,74,73
27,高雄市,左營區,左營,2016/06/29,"懸浮微粒 PM 10  (μg/m 3 )",40,31,37,34,35,30,25,26,35,46,53,52,44,33,32,35,38,34,25,28,27,26,18,14
28,高雄市,左營區,左營,2016/06/29,"甲烷 CH4 (ppm)",1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
