NOx,WIND_DIREC,O3,NMHC,CO,NO,NO2,RH,PM10,CH4,WIND_SPEED,AMB_TEMP,THC,WS_HR,WD_HR,SO2,DATE,Hour,PM2.5
6.5,2.0,9.7,0.05,0.15,0.6,5.9,82.0,11.0,1.7,1.0,29.2,1.8,0.7,18.0,45.0,2019/6/3,0,15.0
14.0,2.4,4.6,0.13,0.26,1.1,12.0,83.0,17.0,1.8,0.5,29.1,1.9,0.6,0.8,359.0,2019/6/3,1,8.0
13.0,3.1,4.2,0.15,0.23,1.1,12.0,84.0,13.0,1.8,0.5,28.8,2.0,0.4,349.0,282.0,2019/6/3,2,8.0
12.0,2.6,4.9,0.14,0.23,1.1,11.0,83.0,16.0,1.8,0.5,28.7,2.0,0.7,9.8,344.0,2019/6/3,3,1.0
12.0,2.6,3.5,0.16,0.24,1.0,11.0,83.0,18.0,1.8,0.9,28.5,2.0,0.4,320.0,280.0,2019/6/3,4,4.0
25.0,3.7,2.5,0.46,0.37,12.0,14.0,83.0,22.0,1.9,1.2,28.5,2.4,0.8,34.0,39.0,2019/6/3,5,2.0
36.0,4.7,4.8,0.38,0.48,19.0,17.0,79.0,22.0,2.0,0.7,29.4,2.3,0.7,14.0,4.0,2019/6/3,6,4.0
15.0,3.3,18.0,0.13,0.32,5.2,9.7,73.0,12.0,1.8,1.2,30.6,1.9,0.8,279.0,264.0,2019/6/3,7,10.0
6.8,2.5,20.0,0.05,0.18,2.2,4.6,73.0,13.0,1.7,3.3,31.3,1.8,1.8,266.0,260.0,2019/6/3,8,7.0
5.8,2.4,20.0,0.01,0.12,2.4,3.3,76.0,14.0,1.7,3.3,31.2,1.7,2.4,271.0,299.0,2019/6/3,9,9.0
3.5,2.0,21.0,0.0,0.11,1.3,2.1,72.0,13.0,1.7,4.3,31.8,1.7,3.3,287.0,283.0,2019/6/3,10,5.0
3.0,1.7,21.0,0.0,0.11,1.4,1.6,72.0,19.0,1.7,3.6,31.8,1.7,3.1,278.0,262.0,2019/6/3,11,7.0
2.5,1.8,24.0,0.0,0.11,1.2,1.4,72.0,15.0,1.7,3.9,32.0,1.7,3.5,281.0,288.0,2019/6/3,12,6.0
2.0,1.8,25.0,0.0,0.1,1.0,1.0,70.0,12.0,1.7,3.4,32.3,1.7,3.1,289.0,288.0,2019/6/3,13,6.0
2.5,1.5,23.0,0.0,0.1,1.1,1.4,66.0,15.0,1.7,3.3,32.4,1.7,3.2,297.0,307.0,2019/6/3,14,6.0
3.2,1.7,22.0,0.0,0.11,1.4,1.8,67.0,10.0,1.7,3.2,32.1,1.7,2.8,286.0,282.0,2019/6/3,15,8.0
3.8,1.7,23.0,0.01,0.12,1.6,2.3,68.0,9.0,1.7,1.9,31.7,1.7,2.3,284.0,296.0,2019/6/3,16,8.0
