序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,高雄市,左營區,左營,2014/6/30,氮氧化物 NOx (ppb),10,11,11,9.1,10,12,22,30,34,26,17,16,11,13,11,11,13,14,8.1,7.2,7.4,8.6,9.2,12
2,高雄市,左營區,左營,2014/6/30,風向 WIND_DIREC (degrees),195,150,90,89,126,149,103,110,190,208,203,208,211,217,215,221,215,221,270,285,347,311,322,202
3,高雄市,左營區,左營,2014/6/30,臭氧 O3 (ppb),14,12,9.2,9.2,9.2,8,8.1,15,21,21,23,22,24,22,23,20,20,,17,19,18,15,13,11
4,高雄市,左營區,左營,2014/6/30,大氣溫度 AMB_TEMP (℃),29.59,29.67,29.17,28.85,28.61,28.49,28.89,29.74,31.01,31.51,32.21,32.38,32.37,32.61,32.76,32.55,32.04,31.43,30.71,30.27,29.92,29.83,29.82,29.72
5,高雄市,左營區,左營,2014/6/30,細懸浮微粒 PM 2.5  (μg/m 3 ),9,10,9,11,10,11,13,15,18,19,19,12,10,6,10,11,17,18,17,8,3,6,2,0
6,高雄市,左營區,左營,2014/6/30,非甲烷碳氫化合物 NMHC (ppm),0.03,0.06,0.06,0.08,0.08,0.11,0.16,0.26,0.24,0.12,0.07,0.05,0.03,0.03,0.04,0.04,0.07,0.1,0.05,0.02,0.04,0.1,0.09,0.11
7,高雄市,左營區,左營,2014/6/30,一氧化碳 CO (ppm),0.16,0.15,0.2,0.21,0.22,0.23,0.39,0.6,0.49,0.3,0.24,0.21,0.18,0.19,0.19,0.22,0.29,0.39,0.26,0.17,0.22,0.35,0.31,0.25
8,高雄市,左營區,左營,2014/6/30,一氧化氮 NO (ppb),1.7,1.2,2.1,1,1,2.1,9.1,12,11,9.7,6.8,6.3,4.5,5.5,4.7,4.5,4.3,4.1,1.4,1.4,1.4,1.3,1.2,1.3
9,高雄市,左營區,左營,2014/6/30,二氧化氮 NO2 (ppb),8.7,10,9.1,8.2,9.3,10,13,19,22,16,10,9.6,6.9,7.6,6.7,6.4,8.6,9.5,6.7,5.7,6,7.3,8,11
10,高雄市,左營區,左營,2014/6/30,相對濕度 RH (percent),77,77,80,81,80,81,80,77,71,68,64,64,64,64,63,63,66,68,73,75,76,76,77,77
11,高雄市,左營區,左營,2014/6/30,總碳氫化合物 THC (ppmC),1.745,1.783,1.983,2.034,2.014,2.106,2.16,2.231,2.051,1.858,1.797,1.779,1.756,1.754,1.763,1.764,1.791,1.82,1.764,1.728,1.746,1.819,1.822,1.841
12,高雄市,左營區,左營,2014/6/30,懸浮微粒 PM 10  (μg/m 3 ),50,48,46,42,34,35,39,50,55,63,59,50,40,38,39,37,32,33,32,33,29,38,39,43
13,高雄市,左營區,左營,2014/6/30,甲烷 CH4 (ppm),1.72,1.728,1.925,1.957,1.934,1.999,1.999,1.969,1.816,1.739,1.729,1.725,1.722,1.723,1.723,1.721,1.724,1.724,1.712,1.705,1.71,1.723,1.728,1.733
14,高雄市,左營區,左營,2014/6/30,降雨量 RAINFALL (mm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,高雄市,左營區,左營,2014/6/30,風速 WIND_SPEED (m/sec),1.1,0.8,1.7,1.3,1.8,1.5,2,1.3,3,4.4,3.4,2.7,3.1,2.8,3.7,2.8,2.3,1.2,0.9,1.1,1,1.1,0.6,1.8
16,高雄市,左營區,左營,2014/6/30,風向 WIND_DIREC (degress),195.11,149.69,89.5,89.34,126.02,149.03,103.03,109.97,189.59,207.8,203.23,207.64,210.77,217.38,214.57,220.74,214.71,221.46,269.86,284.78,346.92,311.47,322.11,201.77
17,高雄市,左營區,左營,2014/6/30,平均風速 WS_HR (m/sec),1.13,0.89,1.14,1.39,0.81,1.36,1.8,1.56,2.11,3.13,2.87,3.36,3.35,2.93,2.79,2.79,2.2,1.48,0.66,0.54,0.47,0.57,0.49,0.35
