NOx,WIND_DIREC,O3,NMHC,CO,NO,NO2,RH,PM10,CH4,WIND_SPEED,AMB_TEMP,THC,WS_HR,WD_HR,SO2,DATE,Hour,PM2.5
5.4,258,9.7,0.01,0.1,0.7,4.7,77,16,1.7,1.7,29,1.7,1.2,253,1.5,2018/6/30,0,4
4.3,258,14,0,0.09,0.2,4.1,77,14,1.7,1.4,29,1.7,1.3,256,1,2018/6/30,1,9
3.3,265,16,0,0.09,-0.1,3.4,80,17,1.7,0.8,29,1.7,1.2,256,0.6,2018/6/30,2,6
2.9,248,16,0.01,0.09,0.2,2.7,81,18,1.7,0.9,29,1.7,0.5,272,0,2018/6/30,3,7
2.3,258,19,0.01,0.09,-0.1,2.4,80,21,1.7,0.8,29,1.7,0.6,263,0,2018/6/30,4,3
5.3,97,13,0.05,0.16,0.1,5.1,80,23,1.7,1.2,29,1.8,0.2,13,0.4,2018/6/30,5,6
13,52,6.1,0.12,0.26,3.3,10,84,27,1.9,1.9,28,2,1.6,61,0.9,2018/6/30,6,1
18,204,10,0.14,0.35,6.8,11,82,32,1.8,1.2,29,2,0.3,186,1.6,2018/6/30,7,11
13,278,25,0.12,0.3,3.6,9.7,80,29,1.8,2.1,30,1.9,1.1,249,0.8,2018/6/30,8,11
6.4,276,34,0.05,0.18,1.2,5.2,71,31,1.7,3.3,31,1.8,1.7,275,0.8,2018/6/30,9,16
3.2,287,39,0.03,0.15,-0.1,3.3,69,28,1.7,2.8,32,1.8,2.3,282,0.9,2018/6/30,10,17
3.6,303,36,0.02,0.13,0.1,3.5,70,35,1.7,3.2,31,1.7,2.9,297,1.1,2018/6/30,11,14
4.1,289,39,0.01,0.12,0.4,3.7,72,37,1.7,2.8,31,1.7,3,295,0.9,2018/6/30,12,14
3,298,44,0.01,0.12,0.2,2.8,73,37,1.7,3.1,31,1.7,2.9,301,1.3,2018/6/30,13,5
2.8,247,33,0.01,0.12,0.2,2.5,70,38,1.7,2.5,32,1.7,2.3,282,0.8,2018/6/30,14,12
2.9,277,33,0.01,0.12,0.1,2.8,74,34,1.7,2.9,31,1.7,2.5,264,1.2,2018/6/30,15,14
2.4,283,30,0.01,0.13,0.1,2.3,75,37,1.7,4,31,1.7,3.1,277,0.8,2018/6/30,16,18
3.1,51,34,0.02,0.15,0,3.2,73,36,1.7,3.4,31,1.7,1.6,299,0.6,2018/6/30,17,12
16,106,22,0.13,0.28,0.7,15,75,41,1.8,2.2,29,1.9,2.1,82,2.6,2018/6/30,18,4
17,36,19,0.11,0.36,0.4,17,77,35,1.8,1.9,29,1.9,1.6,49,0.4,2018/6/30,19,4
16,123,18,0.12,0.33,0.5,15,81,32,1.8,1.6,28,1.9,2.1,52,0.9,2018/6/30,20,8
15,110,18,0.1,0.33,0.3,15,85,31,1.8,1.1,28,1.9,1.4,68,0.7,2018/6/30,21,18
15,27,19,0.1,0.37,0.3,14,85,32,1.8,1.3,28,1.9,0.6,54,0.1,2018/6/30,22,14
17,295,16,0.17,0.28,0.3,17,83,31,1.8,3.2,28,2,1,332,2.8,2018/6/30,23,10
8.5,219,14,0.03,0.12,0.5,8,82,28,1.7,1.6,29,1.7,0.8,210,1.4,2018/6/29,0,4
6,268,15,0.02,0.09,0.4,5.6,82,25,1.7,1.4,29,1.7,1.2,208,2.1,2018/6/29,1,1
7,36,9.5,0.07,0.14,0.8,6.2,84,19,1.9,0.9,28,2,0.8,26,1.9,2018/6/29,2,2
10,87,6.5,0.09,0.17,1.2,8.9,85,21,2,1.8,28,2.1,1.1,62,2.7,2018/6/29,3,1
9.7,64,6.1,0.09,0.17,0.9,8.8,84,20,2,1.3,28,2,1.1,79,2,2018/6/29,4,1
12,84,4.5,0.11,0.22,2.1,9.9,84,24,2,1.2,28,2.1,1.2,64,1.6,2018/6/29,5,6
16,69,6.8,0.13,0.3,6,10,83,23,2,2,29,2.1,1.4,73,3.3,2018/6/29,6,7
23,297,7.6,0.09,0.25,11,12,81,24,1.8,1,29,1.9,1.1,326,2.7,2018/6/29,7,9
23,202,11,0.1,0.32,11,12,81,25,1.8,1.5,29,1.9,0.4,245,2.8,2018/6/29,8,11
11,220,16,0.06,0.17,4,6.6,70,27,1.7,1.9,31,1.8,1.5,206,2.2,2018/6/29,9,8
