序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
38,高雄市,左營區,左營,2019/6/3,氮氧化物 NOx (ppb),6.5,14,13,12,12,25,36,15,6.8,5.8,3.5,3,2.5,2,2.5,3.2,3.8,5.8,4.5,6.4,5.4,7,7.4,5.6
39,高雄市,左營區,左營,2019/6/3,二氧化硫 SO2 (ppb),2,2.4,3.1,2.6,2.6,3.7,4.7,3.3,2.5,2.4,2,1.7,1.8,1.8,1.5,1.7,1.7,1.6,2,2.1,1.9,1.9,2.3,1.8
40,高雄市,左營區,左營,2019/6/3,臭氧 O3 (ppb),9.7,4.6,4.2,4.9,3.5,2.5,4.8,18,20,20,21,21,24,25,23,22,23,21,22,19,20,16,16,15
41,高雄市,左營區,左營,2019/6/3,細懸浮微粒 PM 2.5  (μg/m 3 ),15,8,8,1,4,2,4,10,7,9,5,7,6,6,6,8,8,14,12,13,11,11,13,8
42,高雄市,左營區,左營,2019/6/3,非甲烷碳氫化合物 NMHC (ppm),0.05,0.13,0.15,0.14,0.16,0.46,0.38,0.13,0.05,0.01,0,0,0,0,0,0,0.01,0.01,0.01,0.02,0.01,0.03,0.01,0
43,高雄市,左營區,左營,2019/6/3,一氧化碳 CO (ppm),0.15,0.26,0.23,0.23,0.24,0.37,0.48,0.32,0.18,0.12,0.11,0.11,0.11,0.1,0.1,0.11,0.12,0.14,0.12,0.15,0.13,0.16,0.14,0.11
44,高雄市,左營區,左營,2019/6/3,一氧化氮 NO (ppb),0.6,1.1,1.1,1.1,1,12,19,5.2,2.2,2.4,1.3,1.4,1.2,1,1.1,1.4,1.6,1.8,1.1,0.9,0.9,1,1,0.9
45,高雄市,左營區,左營,2019/6/3,二氧化氮 NO2 (ppb),5.9,12,12,11,11,14,17,9.7,4.6,3.3,2.1,1.6,1.4,1,1.4,1.8,2.3,4,3.4,5.6,4.4,6,6.4,4.7
46,高雄市,左營區,左營,2019/6/3,相對濕度 RH (percent),82,83,84,83,83,83,79,73,73,76,72,72,72,70,66,67,68,69,73,73,77,77,80,84
47,高雄市,左營區,左營,2019/6/3,懸浮微粒 PM 10  (μg/m 3 ),11,17,13,16,18,22,22,12,13,14,13,19,15,12,15,10,9,12,12,14,14,17,13,14
48,高雄市,左營區,左營,2019/6/3,甲烷 CH4 (ppm),1.7,1.8,1.8,1.8,1.8,1.9,2,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
49,高雄市,左營區,左營,2019/6/3,風速 WIND_SPEED (m/sec),1,0.5,0.5,0.5,0.9,1.2,0.7,1.2,3.3,3.3,4.3,3.6,3.9,3.4,3.3,3.2,1.9,2.7,2,2.2,2.2,1.6,1.9,1.3
50,高雄市,左營區,左營,2019/6/3,溫度 AMB_TEMP (℃),29.2,29.1,28.8,28.7,28.5,28.5,29.4,30.6,31.3,31.2,31.8,31.8,32,32.3,32.4,32.1,31.7,31.3,30.3,30.1,29.8,29.8,29.6,29.3
